latitude,longitude,altitude(m),heading(deg),curvesize(%),rotationdir,gimbalpitch,altitudemode,speed(m/s),actions
-1.28730000,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28704875,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28679751,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28654626,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28629501,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28604377,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28579252,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28554128,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28529003,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28503878,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28478754,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28453629,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28428504,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28403380,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28378255,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28353130,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28328006,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28302881,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28277756,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28252632,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28227507,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28202383,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28177258,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28152133,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28127009,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28101884,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28076759,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28051635,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28026510,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.28001385,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27976261,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27951136,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27926011,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27900887,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27875762,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27850638,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27825513,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27800388,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27775264,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27750139,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27725014,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27699890,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27674765,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27649640,36.81665000,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27650000,36.81690552,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27675125,36.81690552,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27700249,36.81690552,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27725374,36.81690552,75.00,180.00,0,0,-90,0,15.00,0(0)
